編號, 相機序號, 漏電流值, 結果, 進站時間, 出站時間
1, N2201001A0001, 11.1, OK, 2022/11/07 15:59:01, 2022/11/07 16:01:20
2, N2201001A0002, 10.0, OK, 2022/11/07 16:02:06, 2022/11/07 16:03:55
3, N2201001A0003, 9.5, OK, 2022/11/07 16:04:12, 2022/11/07 16:06:32
4, N2201001A0005, 80.1, OK, 2022/11/07 16:10:28, 2022/11/07 16:12:12
5, N2201001A0006, 120.1, OK, 2022/11/07 16:14:43, 2022/11/07 16:15:23
6, N2201001A0007, 33.1, OK, 2022/11/07 16:19:28, 2022/11/07 16:21:07
7, N2201001A0008, 9.5, OK, 2022/11/07 16:04:12, 2022/11/07 16:06:32
8, N2201001A0009, 132.1, NG, 2022/11/07 16:08:19, 2022/11/07 16:10:01
9, N2201001A0010, 80.1, OK, 2022/11/07 16:10:28, 2022/11/07 16:12:12
10, N2201001A0012, 10.0, OK, 2022/11/07 16:02:06, 2022/11/07 16:03:55
11, N2201001A0014, 132.1, OK, 2022/11/07 16:08:19, 2022/11/07 16:10:01
12, N2201001A0015, 80.1, OK, 2022/11/07 16:10:28, 2022/11/07 16:12:12
13, N2201001A0016, 120.1, OK, 2022/11/07 16:14:43, 2022/11/07 16:15:23
14, N2201001A0017, 33.1, OK, 2022/11/07 16:19:28, 2022/11/07 16:21:07
15, N2201001A0018, 9.5, OK, 2022/11/07 16:04:12, 2022/11/07 16:06:32
16, N2201001A0020, 80.1, OK, 2022/11/07 16:10:28, 2022/11/07 16:12:12

