last-update-time,last-trading-date,symbol,current-trading-session,change-abs,change-percentage,session-open-abs,session-traded-high-abs,session-traded-low-abs,last-traded-price-abs,daily-settlement-price-abs,total-volume,open-interest
2020-08-07 14:03:09.0,2020-08-28,twq20,T,3.6,-0.7057439717702411,510.4,510.5,503.6,506.5,506.5,25927.0,159868.0
2020-08-08 05:20:00.0,2020-08-28,twq20,T+1,,,506.5,507.5,504.0,506.2,,10277.0,0.0
2020-08-07 14:03:09.0,2020-09-29,twu20,T,3.4,-0.6715386134702745,505.2,505.5,501.0,502.9,502.9,108.0,345.0
2020-08-08 05:20:00.0,2020-09-29,twu20,T+1,,,503.6,504.3,503.0,504.0,,30.0,0.0
2020-08-08 05:20:00.0,2020-10-29,twv20,T+1,,,,,,,,0.0,0.0
2020-08-07 14:03:09.0,2020-10-29,twv20,T,,,,,,,501.1,0.0,0.0
2020-08-07 14:03:09.0,2020-12-30,twz20,T,,,,,,,496.7,0.0,1.0
2020-08-08 05:20:00.0,2020-12-30,twz20,T+1,,,,,,,,0.0,0.0
2020-08-07 14:03:09.0,2021-03-30,twh21,T,,,,,,,491.5,0.0,0.0
2020-08-08 05:20:00.0,2021-03-30,twh21,T+1,,,,,,,,0.0,0.0
2020-08-07 14:03:09.0,2021-06-29,twm21,T+1,,,,,,,,0.0,0.0
2020-08-07 14:03:09.0,2021-06-29,twm21,T,,,,,,,485.6,0.0,0.0
2020-08-07 14:03:09.0,2021-09-29,twu21,T,,,,,,,472.3,0.0,0.0
2020-08-07 14:03:09.0,2021-09-29,twu21,T+1,,,,,,,,0.0,0.0
2020-08-07 14:03:09.0,2021-12-29,twz21,T,,,,,,,468.9,0.0,0.0
2020-08-07 14:03:09.0,2021-12-29,twz21,T+1,,,,,,,,0.0,0.0
2020-08-07 14:03:09.0,2022-03-30,twh22,T,,,,,,,466.2,0.0,0.0
2020-08-07 14:03:09.0,2022-03-30,twh22,T+1,,,,,,,,0.0,0.0
2020-08-07 14:03:09.0,2022-06-29,twm22,T+1,,,,,,,,0.0,0.0
2020-08-07 14:03:09.0,2022-06-29,twm22,T,,,,,,,463.0,0.0,0.0
2020-08-07 14:03:09.0,2022-09-29,twu22,T,,,,,,,451.9,0.0,0.0
2020-08-07 14:03:09.0,2022-09-29,twu22,T+1,,,,,,,,0.0,0.0
2020-08-07 14:03:09.0,2022-12-29,twz22,T+1,,,,,,,,0.0,0.0
2020-08-07 14:03:09.0,2022-12-29,twz22,T,,,,,,,449.7,0.0,0.0
2020-08-07 14:03:09.0,2023-03-30,twh23,T+1,,,,,,,,0.0,0.0
2020-08-07 14:03:09.0,2023-03-30,twh23,T,,,,,,,447.9,0.0,0.0
2020-08-07 14:03:09.0,2023-06-29,twm23,T+1,,,,,,,,0.0,0.0
2020-08-07 14:03:09.0,2023-06-29,twm23,T,,,,,,,445.0,0.0,0.0
