出表日期,公司代號,公司名稱,公司簡稱,外國企業註冊地國,產業別,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額,私募股數,特別股,編制財務報表類型,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,網址,已發行普通股數或TDR原股發行股數
"1121126","1240","茂生農經股份有限公司","茂生農經","－ ","33","台北市和平西路一段三十號二樓","18795706","吳清德","吳清德","林信鴻","管理部","邱紹齊","02-23671162","19670218","20180808","新台幣                 10.0000元","393701580","0","0","1","元大證券股份有限公司股務代理部","02-2586-5859","103432台北市大同區承德路三段210號地下一樓","勤業眾信聯合會計師事務所","陳招美","虞成全","MORNSUN　","2F.,No.30,Sec. 1,Heping W.Rd.,Zhongzheng Dist.,Taipei City 100TAIPEI,TAIWAN(R.O.C)","02-23640694","bedford@morn-sun.com.tw","https://www.morn-sun.com.tw/　","39370158"
"1121126","1259","安心食品服務股份有限公司","安心","－ ","16","台北市大安區仁愛路3段136號2樓201室","23928945","黃茂雄","高順興","施啟寅","協理","何頎胤","(02)2567-5001","19901123","20111215","新台幣                 10.0000元","323895000","0","0","1","群益金鼎證券(股)公司股務代理部","(02)27023999","(106)台北市大安區敦化南路二段97號B2","資誠聯合會計師事務所","徐明釧","邱昭賢","AN-SHIN","Room201, 2F., No. 136,Sec. 3, Ren'ai Rd.Da’an Dist., Taipei CityTaipei 106465 R.O.C.","(02)2567-1692","ir@mos.com.tw","http://www.mos.com.tw","32389500"
"1121126","1264","德麥食品股份有限公司","德麥","－ ","02","新北市五股區五權五路31號","23420497","林雪嬌","吳文欽","邱俊榮","財務經理","賴素瑛","(02)2298-1347","19890629","20150409","新台幣                 10.0000元","370643670","0","0","1","富邦綜合證券(股)公司股務代理部","(02)2361-1300","台北市中正區許昌街17號2樓","勤業眾信聯合會計師事務所","張耿禧","陳招美","TEHMAG","No.31,Wuquan 5th Rd.,Wugu Dist.,New Taipei City,Taiwan,R.O.C.","(02)2298-2263","ir@tehmag.com.tw","http://www.tehmag.com.tw","37064367"
"1121126","1268","漢來美食股份有限公司","漢來美食","－ ","16","高雄市前金區成功一路266號21樓之1","80352343","賴宗成","林淑婷","林淑婷","總經理","柯柏良","(07)213-5788","20030109","20170927","新台幣                 10.0000元","422237300","0","0","1","福邦證券股份有限公司","(02)2371-1658","台北市中正區忠孝西路一段6號6樓","勤業眾信聯合會計師事務所","陳珍麗","江佳玲","Hi-Lai Foods","21F-1, No.266, Cheng-Kung 1st Road,80146 Kaohsiung City,Taiwan, R.O.C.","(07)215-5956","stock@hilai-foods.com","www.hilai-foods.com","42223730"
"1121126","1336","台翰精密科技股份有限公司","台翰","－ ","28","桃園市龜山區民生北路一段568號1樓","22589593","蔡鎮隆","蔡鎮隆","張誌仁","特助","遺缺待補","03-3112025","19870828","20071102","新台幣                 10.0000元","788184190","0","0","1","永豐金證券(股)公司股務代理部","02-23816288","台北市中正區博愛路17號3樓","資誠聯合會計師事務所","黃世鈞","林佳鴻","TAIHAN","1F., No. 568, Sec. 1, Minsheng N. Rd., Guishan Dist.Taoyuan City 333 , Taiwan (R.O.C.)","03-3112035","tony@thpt.com.tw","www.thpt.com.tw","78818419"
"1121126","1565","精華光學股份有限公司","精華","－ ","22","新北市汐止區大同路一段276之2號4、5樓","22195654","陳明賢","周育然","周華玲","稽核室副理","林雅蘋","(02)8691-6000","19860924","20040330","新台幣                 10.0000元","504165160","0","0","1","元大證券股務代理部","(02)2586-5859","台北市大同區承德路三段210號  B1","資誠聯合會計師事務所","鄧聖偉","游淑芬","St.Shine　","4, 5F, No. 276-2, Sec. 1, Ta Tung Rd,,Hsi Chih Dist., New Taipei City, Taiwan","(02)2647-9369","s0505@stshine.com.tw","http://www.stshine.com.tw","50416516"
"1121126","1569","濱川企業股份有限公司","濱川","－ ","25","高雄市大寮區大發工業區興業路二號","76404919","蕭欽銘","蕭欽群","李璠","副總經理","黃琳霽","07-7871521","19830330","20050729","新台幣                 10.0000元","1214474410","0","0","1","富邦綜合證券股份有限公司","02-23611300","台北市中正區許昌街17號2樓","勤業眾信聯合會計師事務所","許瑞軒","陳珍麗","Bin Chuan","2 Shing Yeh Road Ta-fa Industrial ZoneKoahsiung  Taiwan R.O.C","07-7871515","fan_lee@hamagawa.com","www.hamagawa.com","121447441"
"1121126","1570","力肯實業股份有限公司","力肯","－ ","05","新北市八里區博物館路81號","36253534","溫銘漢","溫銘漢","溫銘漢","董事長兼總經理","吳曼群","(02)2619-5619","19831223","20050630","新台幣                 10.0000元","515008390","0","0","1","元富證券股份有限公司股務代理部","(02)2768-6668","105台北市松山區光復北路11巷35號B1","勤業眾信聯合會計師事務所","方涵妮會計師","龔則立會計師","De Poan","NO.81, MUSEUM ROADBa-Li District, New Taipei City, Taiwan","(02)2619-5618","wilson-ko@depoan.com","www.depoan.com","51500839"
"1121126","1580","新麥企業股份有限公司","新麥","－ ","05","新北市五股區五權六路23號","12461082","謝順和","謝順和","蕭淑娟","副總經理","翁麗勉","02-22981148","19830927","20071210","新台幣                 10.0000元","502302420","0","0","1","台新證券股務代理部","02-25048125","台北市建國北路一段96號B1","勤業眾信聯合會計師事務所","陳薔旬","陳招美","SINMAG","No.23, Wuquan 6th Rd., Wugu Dist.New Taipei City , Taiwan (R.O.C.)","02-22981718","sinmag.tw@sinmag.com.tw","www.sinmag.com.tw","50230242"
"1121126","1584","精剛精密科技股份有限公司","精剛","－ ","20","台南市柳營區工一路15號(環保科技園區)","80334042","王炯棻","林嘉洪","吳柏成","執行長","林美伶","06-6235143","20020515","20071128","新台幣                 10.0000元","1924705330","40000000","0","1","元大證券股份有限公司","02-25865859","103 台北市承德路三段210號B1","資誠聯合會計師事務所","林姿妤","田中玉","STC","No.15,Gong 1st Road,Da Nong Village, Liouying Township, Tain","06-6233311","http://www.s-tech.com.tw","http://www.s-tech.com.tw","192470533"
