sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,41,,良好,0.8,0.22,57.8,40.9,21,15,5.2,6.1,0.9,1.8,269,"2023/06/02 15:00:00",0.3,12,22,0,121.760056,25.129167,1
汐止,新北市,36,,良好,0.9,0.19,53.9,35.8,21,11,6.7,7.8,1.1,2.5,288,"2023/06/02 15:00:00",0.3,11,24,0,121.64081,25.06624,2
萬里,新北市,63,懸浮微粒,普通,1.3,0.19,49.6,38.1,102,20,3.3,4.3,1,1.5,216,"2023/06/02 15:00:00",0.2,13,63,0,121.689881,25.179667,3
新店,新北市,40,,良好,1,0.27,58.1,43.3,27,13,8.7,9.8,1,3.6,354,"2023/06/02 15:00:00",0.2,9,24,0,121.537778,24.977222,4
土城,新北市,37,,良好,1.9,0.28,61.4,40.6,28,11,6.6,7.5,0.9,2.1,250,"2023/06/02 15:00:00",0.2,9,24,1,121.451861,24.982528,5
板橋,新北市,35,,良好,1.9,0.3,57.6,38.5,25,12,6.7,7.5,0.8,2.7,289,"2023/06/02 15:00:00",0.2,10,22,1,121.458667,25.012972,6
新莊,新北市,40,,良好,1.3,0.2,58.1,38.3,24,14,6,6.9,0.9,1.7,250,"2023/06/02 15:00:00",0.3,12,26,1,121.4325,25.037972,7
菜寮,新北市,46,,良好,1.6,0.25,47.8,32.3,20,14,9.1,11.3,2.2,2.6,328,"2023/06/02 15:00:00",0.3,14,19,1,121.481028,25.06895,8
林口,新北市,34,,良好,1,0.19,51.2,34.8,32,12,5.6,7.4,1.8,3.6,282,"2023/06/02 15:00:00",0.1,10,22,1,121.36548982,25.07798949,9
淡水,新北市,36,,良好,1.2,0.17,57.3,36.7,22,12,3.5,4.2,0.6,,,"2023/06/02 15:00:00",0.2,11,21,1,121.449239,25.1645,10
士林,臺北市,40,,良好,1.1,0.19,41.6,30.4,27,11,9,11.2,2.1,4,332,"2023/06/02 15:00:00",0.2,12,28,0,121.51666356,25.10334003,11
中山,臺北市,36,,良好,1.6,0.3,38.4,26.3,24,12,13.6,17.5,3.9,3.8,4,"2023/06/02 15:00:00",0.6,11,28,1,121.526528,25.062361,12
萬華,臺北市,38,,良好,2.8,0.31,40.1,32.7,21,11,14.4,17.2,2.7,2.4,11,"2023/06/02 15:00:00",0.4,11,21,2,121.507972,25.046503,13
古亭,臺北市,40,,良好,1.9,0.26,43.8,37.1,26,11,11.6,13.4,1.8,1.6,7,"2023/06/02 15:00:00",0.3,12,22,1,121.529556,25.020608,14
松山,臺北市,34,,良好,1.5,0.24,42.2,30.2,29,12,10.9,13.5,2.6,1.8,323,"2023/06/02 15:00:00",0.3,10,28,1,121.578611,25.05,15
大同,臺北市,55,細懸浮微粒,普通,1.8,0.52,31.2,22.6,32,20,18.1,24.7,6.5,-,-,"2023/06/02 15:00:00",1,17,30,1,121.51342074,25.06331455,16
桃園,桃園市,41,,良好,0.8,0.22,58.7,36.6,28,15,4.8,6.1,1.2,2.4,292,"2023/06/02 15:00:00",0.2,12,23,0,121.30500531,24.9947107,17
大園,桃園市,33,,良好,1.7,0.23,47.7,34.2,30,13,7,8.7,1.6,3.8,306,"2023/06/02 15:00:00",0.1,10,24,1,121.20251473,25.06100357,18
觀音,桃園市,35,,良好,1.1,0.18,50.5,37.2,19,9,5,6.5,1.4,3.5,251,"2023/06/02 15:00:00",0.2,10,20,0,121.08283092,25.03556747,19
平鎮,桃園市,31,,良好,0.4,0.27,45.8,33.2,30,10,10.8,14.8,3.9,3.2,274,"2023/06/02 15:00:00",0.2,8,26,0,121.203986,24.952786,20
龍潭,桃園市,47,,良好,1.3,0.24,65.4,41.8,29,31,6.5,6.9,0.3,3.3,248,"2023/06/02 15:00:00",0.2,14,28,0,121.21645772,24.86400048,21
湖口,新竹縣,31,,良好,,0.15,46.9,30.9,19,9,1.6,2,0.3,3.1,277,"2023/06/02 15:00:00",0.1,9,19,0,121.03886894,24.90009696,22
竹東,新竹縣,43,,良好,1.4,0.22,67,45.4,29,17,4.8,6.1,1.2,2.5,302,"2023/06/02 15:00:00",0.2,13,25,0,121.08895493,24.74091408,23
新竹,新竹市,31,,良好,,0.22,,33.8,20,,6.2,7.7,1.4,1.8,263,"2023/06/02 15:00:00",0.2,8,21,0,120.97236752,24.8056356,24
頭份,苗栗縣,41,,良好,1.4,0.18,53.6,41.2,21,14,1.9,3.6,1.6,3.7,271,"2023/06/02 15:00:00",0.2,12,26,1,120.89869286,24.69690679,25
苗栗,苗栗縣,40,,良好,1.5,0.18,51.2,43.7,20,13,5.3,7.3,2,1.8,313,"2023/06/02 15:00:00",0.2,12,28,1,120.82011468,24.56499183,26
三義,苗栗縣,48,,良好,2.1,0.24,63.8,47.8,30,18,4.5,5.2,0.6,2.2,326,"2023/06/02 15:00:00",0.2,14,28,1,120.75956754,24.38248443,27
豐原,臺中市,51,細懸浮微粒,普通,2.8,0.26,73.2,46.6,41,23,5.8,6.7,0.9,3.1,276,"2023/06/02 15:00:00",0.2,15,25,1,120.74252414,24.25699731,28
沙鹿,臺中市,49,,良好,1.1,0.2,58.3,49.3,28,13,3.7,4.8,1.1,2.6,248,"2023/06/02 15:00:00",0.2,15,31,0,120.568794,24.225628,29
大里,臺中市,40,,良好,1.9,0.23,64.5,43.3,41,14,5,6,1,4,274,"2023/06/02 15:00:00",0.2,12,34,1,120.67844444,24.09961111,30
忠明,臺中市,46,,良好,2,0.24,68.7,44.9,31,21,8.5,9.2,0.7,2.1,264,"2023/06/02 15:00:00",0.2,14,26,1,120.641092,24.151958,31
西屯,臺中市,52,細懸浮微粒,普通,1.6,0.19,67.7,45.9,38,22,4.3,5.5,1.1,2.8,269,"2023/06/02 15:00:00",0.1,15,30,0,120.616917,24.162197,32
彰化,彰化縣,53,細懸浮微粒,普通,1.2,0.22,52.1,42,57,17,8.2,10.5,2.3,2.1,283,"2023/06/02 15:00:00",0.2,16,43,1,120.541519,24.066,33
線西,彰化縣,60,細懸浮微粒,普通,,0.17,48.6,43.2,18,14,,,,3,250,"2023/06/02 15:00:00",0.1,19,28,1,120.469061,24.131672,34
二林,彰化縣,44,,良好,2.4,0.18,49.8,42.1,27,12,2.5,3,0.5,2.6,275,"2023/06/02 15:00:00",0.1,13,28,1,120.409653,23.925175,35
南投,南投縣,40,,良好,1.2,0.17,61.9,43.5,26,14,2.6,3.8,1.1,2.7,252,"2023/06/02 15:00:00",0.1,11,24,1,120.685306,23.913,36
斗六,雲林縣,45,,良好,1.3,0.21,61.4,49.9,22,11,4.5,5.7,1.1,2.5,269,"2023/06/02 15:00:00",0.2,11,21,1,120.544994,23.711853,37
崙背,雲林縣,40,,良好,0.7,0.18,46.2,38.3,20,14,2.5,2.9,0.3,1.9,261,"2023/06/02 15:00:00",0.1,12,27,1,120.348742,23.757547,38
新港,嘉義縣,48,,良好,1.5,0.17,54.1,45.1,31,20,0.3,1,0.6,2.8,281,"2023/06/02 15:00:00",0.1,14,31,1,120.345531,23.554839,39
朴子,嘉義縣,43,,良好,0.6,0.21,52.1,46.6,26,15,2.4,3,0.6,2.2,267,"2023/06/02 15:00:00",0.2,11,23,0,120.2478,23.46538,40
臺西,雲林縣,38,,良好,0.1,0.16,50.1,41.1,26,11,1.5,2.5,1,3.2,240,"2023/06/02 15:00:00",0.1,11,22,0,120.19933333,23.702175,41
嘉義,嘉義市,44,,良好,1.2,0.19,61.3,47.2,27,13,3.3,3.9,0.6,2,268,"2023/06/02 15:00:00",0.1,11,29,1,120.44125148,23.46477865,42
新營,臺南市,45,,良好,1.1,0.21,52.5,47.5,27,22,4,5.7,1.6,2.8,263,"2023/06/02 15:00:00",0.2,13,27,0,120.31725,23.305633,43
善化,臺南市,42,,良好,0.7,0.16,53.4,45.6,25,16,4.2,5.5,1.3,3.7,279,"2023/06/02 15:00:00",0.1,12,25,1,120.29740529,23.11337642,44
安南,臺南市,46,,良好,0.7,0.19,48.7,44,27,15,1.7,2.4,0.6,4.1,271,"2023/06/02 15:00:00",0.2,14,29,1,120.2175,23.048197,45
臺南,臺南市,41,,良好,0.1,0.23,38.6,38.4,30,14,5.3,6.1,0.8,1,292,"2023/06/02 15:00:00",0.2,12,26,0,120.22085,22.99123,46
美濃,高雄市,42,,良好,1,0.19,66.7,45.4,23,17,3.5,4.3,0.8,2.2,271,"2023/06/02 15:00:00",0.1,12,22,0,120.530542,22.883583,47
橋頭,高雄市,43,,良好,1.1,0.15,50.9,46.6,43,14,4,5.1,1.1,4.1,247,"2023/06/02 15:00:00",0.1,13,31,1,120.305689,22.757506,48
仁武,高雄市,45,,良好,,,,,22,11,,,,3.3,275,"2023/06/02 15:00:00",0.2,13,22,1,120.332631,22.689056,49
鳳山,高雄市,48,,良好,1.7,0.35,45.2,41.7,15,12,7.1,9.7,2.5,1.6,259,"2023/06/02 15:00:00",0.4,14,22,1,120.357422,22.628126,50
大寮,高雄市,44,,良好,1,0.2,44.3,44.2,40,15,11.9,14.3,2.4,3.1,300,"2023/06/02 15:00:00",0.2,13,33,2,120.425311,22.56413611,51
林園,高雄市,44,,良好,0.8,0.16,52.8,47.6,23,12,1.9,2.4,0.5,2.7,283,"2023/06/02 15:00:00",0.1,10,25,3,120.41175,22.4795,52
楠梓,高雄市,47,,良好,1.1,0.16,48.6,45.8,32,16,4.7,6,1.3,2.2,254,"2023/06/02 15:00:00",0.1,14,29,1,120.328289,22.733667,53
左營,高雄市,44,,良好,0.4,0.17,48.2,47.1,24,8,2.8,3.4,0.6,3.7,283,"2023/06/02 15:00:00",0.1,11,25,0,120.292917,22.674861,54
前金,高雄市,44,,良好,0.6,0.19,51.8,47.6,15,16,3.5,5.3,1.7,2.8,250,"2023/06/02 15:00:00",0.2,12,21,0,120.28676111,22.63390278,56
前鎮,高雄市,41,,良好,0.2,0.21,48,44.6,23,9,7.5,9.1,1.5,1.4,344,"2023/06/02 15:00:00",0.2,12,24,0,120.30833356,22.6044507,57
小港,高雄市,52,細懸浮微粒,普通,0.5,0.17,47.3,42.5,25,15,11.8,14.8,2.9,3.2,266,"2023/06/02 15:00:00",0.2,16,24,0,120.337736,22.565833,58
屏東,屏東縣,46,,良好,1.3,0.19,58.1,50.5,27,13,4.9,5.8,0.9,3.4,277,"2023/06/02 15:00:00",0.1,14,29,1,120.488033,22.673081,59
潮州,屏東縣,47,,良好,2,0.25,57.2,50.2,21,10,6.7,7.6,0.8,3.7,265,"2023/06/02 15:00:00",0.2,14,27,1,120.561175,22.523108,60
恆春,屏東縣,48,,良好,0,0.16,50.8,52.5,19,11,1.6,1.9,0.3,3.3,270,"2023/06/02 15:00:00",0.1,9,15,0,120.788928,21.958069,61
臺東,臺東縣,31,,良好,0.4,0.15,27,33,36,8,4.4,5.9,1.5,2.6,72,"2023/06/02 15:00:00",0.1,9,30,0,121.15045,22.755358,62
花蓮,花蓮縣,34,,良好,0,0.13,31,26.5,31,15,1.3,2.8,1.5,1.9,136,"2023/06/02 15:00:00",0.1,10,30,0,121.599769,23.971306,63
陽明,臺北市,31,,良好,2.2,0.17,40.3,34.3,19,8,1.2,1.7,0.4,,,"2023/06/02 15:00:00",0.1,6,17,1,121.529583,25.182722,64
宜蘭,宜蘭縣,34,,良好,1,0.11,37.7,35.3,25,7,3.4,4.2,0.8,2.4,18,"2023/06/02 15:00:00",0.1,10,22,0,121.746394,24.747917,65
冬山,宜蘭縣,28,,良好,1,0.34,,30.5,33,11,,,,1.9,68,"2023/06/02 15:00:00",0.3,7,28,0,121.792928,24.632203,66
三重,新北市,52,細懸浮微粒,普通,1.6,0.52,30,14.3,35,18,25.7,50.1,24.3,-,-,"2023/06/02 15:00:00",1.1,16,33,1,121.493806,25.072611,67
中壢,桃園市,42,,良好,1.6,0.55,38.5,26.2,32,15,21.2,35.3,14,1.6,46,"2023/06/02 15:00:00",0.7,12,27,1,121.221667,24.953278,68
竹山,南投縣,41,,良好,1.3,0.15,66.1,44.3,30,16,,,,2.1,307,"2023/06/02 15:00:00",0.1,11,22,,120.677306,23.756389,69
永和,新北市,47,,良好,1.5,0.8,28.2,28.9,29,19,28.1,46,17.9,1.8,34,"2023/06/02 15:00:00",0.7,14,24,0,121.516306,25.017,70
復興,高雄市,42,,良好,0.7,0.23,47.1,43,18,14,9.3,11.1,1.8,0.8,245,"2023/06/02 15:00:00",0.4,12,22,0,120.312017,22.608711,71
埔里,南投縣,34,,良好,1.5,0.18,62.5,37.2,26,11,3.3,3.1,0,2.8,291,"2023/06/02 15:00:00",0.1,6,19,1,120.967903,23.968842,72
馬祖,連江縣,57,細懸浮微粒,普通,0.3,0.14,53,47.8,44,13,2.9,4.2,1.2,2.5,201,"2023/06/02 15:00:00",0.1,17,35,1,119.93149378,26.15188416,75
金門,金門縣,59,細懸浮微粒,普通,0.4,0.21,59.5,45.6,27,17,4.9,6.1,1.2,3.7,187,"2023/06/02 15:00:00",0.2,18,29,1,118.312256,24.432133,77
馬公,澎湖縣,38,,良好,0.4,0.19,52.3,41.6,26,15,4.4,5.5,1,1.6,180,"2023/06/02 15:00:00",0.2,11,22,0,119.566158,23.569031,78
關山,臺東縣,23,,良好,0.5,0.1,25.5,25.9,16,7,0.9,1.8,0.9,1.3,253,"2023/06/02 15:00:00",0.1,6,17,0,121.161933,23.045083,80
麥寮,雲林縣,39,,良好,1.3,0.17,51.5,42.4,19,8,2.6,4.1,1.4,2.6,230,"2023/06/02 15:00:00",0.1,11,22,1,120.251825,23.753506,83
富貴角,新北市,37,,良好,0.1,0.15,58.1,40.7,34,9,1.5,1.7,0.2,4.2,253,"2023/06/02 15:00:00",0.1,10,37,0,121.53656894,25.29681695,84
大城,彰化縣,39,,良好,1.7,0.15,49.9,42,29,9,2.3,3.8,1.5,2.2,294,"2023/06/02 15:00:00",0.1,10,27,1,120.26964167,23.85493056,85
彰化(員林),彰化縣,41,,良好,2,0.28,,,26,15,,,,,,"2023/06/02 15:00:00",0.2,12,26,2,120.56373,23.96117,201
高雄(湖內),高雄市,36,,良好,0.5,0.17,41.4,39.3,18,9,3.1,5.1,2,2.3,261,"2023/06/02 15:00:00",0.1,10,17,0,120.24535,22.87985556,202
臺南(麻豆),臺南市,38,,良好,0.7,0.18,42.1,37,25,13,5.6,7.8,2.2,1,224,"2023/06/02 15:00:00",0.2,11,24,0,120.24583056,23.17904722,203
屏東(琉球),屏東縣,45,,良好,0.9,0.13,49.2,44.4,25,15,2.8,3.6,0.8,2.1,315,"2023/06/02 15:00:00",0.1,14,25,0,120.37722,22.35222,204
桃園(三民),桃園市,40,,良好,0.8,0.38,52.7,33.3,34,14,14.1,21.2,7.1,1.5,263,"2023/06/02 15:00:00",0.5,12,33,1,121.31788148,25.00132736,310
新北(樹林),新北市,40,,良好,0.7,0.23,45.1,31.5,29,16,10.3,11.8,1.5,0.7,5,"2023/06/02 15:00:00",0.2,12,32,0,121.38352778,24.94902778,311
屏東(枋山),屏東縣,47,,良好,0.3,0.14,50.7,51,32,14,0.5,0.5,0,2.1,340,"2023/06/02 15:00:00",0.1,13,31,0,120.651472,22.260899,313
