地點,日期,天文曙光始,航海曙光始,民用曙光始,日出時刻,方位,過中天,仰角,日沒時刻,方位,民用暮光終,航海暮光終,天文暮光終
新竹縣,2024-01-01,05:19,05:47,06:15,06:40,115,11:59,42S,17:18,245,17:43,18:11,18:39
新竹縣,2024-01-02,05:19,05:47,06:16,06:41,115,12:00,42S,17:19,245,17:43,18:12,18:40
新竹縣,2024-01-03,05:20,05:48,06:16,06:41,115,12:00,42S,17:19,245,17:44,18:12,18:40
新竹縣,2024-01-04,05:20,05:48,06:16,06:41,115,12:01,42S,17:20,245,17:45,18:13,18:41
新竹縣,2024-01-05,05:20,05:48,06:17,06:41,115,12:01,43S,17:21,245,17:45,18:14,18:42
新竹縣,2024-01-06,05:21,05:49,06:17,06:42,115,12:01,43S,17:21,245,17:46,18:14,18:42
新竹縣,2024-01-07,05:21,05:49,06:17,06:42,114,12:02,43S,17:22,246,17:47,18:15,18:43
新竹縣,2024-01-08,05:21,05:49,06:17,06:42,114,12:02,43S,17:23,246,17:47,18:16,18:44
新竹縣,2024-01-09,05:21,05:49,06:17,06:42,114,12:03,43S,17:23,246,17:48,18:16,18:44
新竹縣,2024-01-10,05:22,05:49,06:18,06:42,114,12:03,43S,17:24,246,17:49,18:17,18:45
新竹縣,2024-01-11,05:22,05:50,06:18,06:42,114,12:04,43S,17:25,246,17:50,18:18,18:45
新竹縣,2024-01-12,05:22,05:50,06:18,06:42,114,12:04,43S,17:26,246,17:50,18:18,18:46
新竹縣,2024-01-13,05:22,05:50,06:18,06:42,114,12:04,44S,17:26,247,17:51,18:19,18:47
新竹縣,2024-01-14,05:22,05:50,06:18,06:42,113,12:05,44S,17:27,247,17:52,18:20,18:47
新竹縣,2024-01-15,05:22,05:50,06:18,06:42,113,12:05,44S,17:28,247,17:52,18:20,18:48
新竹縣,2024-01-16,05:22,05:50,06:18,06:42,113,12:05,44S,17:29,247,17:53,18:21,18:49
新竹縣,2024-01-17,05:22,05:50,06:18,06:42,113,12:06,44S,17:29,247,17:54,18:22,18:49
新竹縣,2024-01-18,05:22,05:50,06:18,06:42,113,12:06,45S,17:30,248,17:54,18:22,18:50
新竹縣,2024-01-19,05:22,05:50,06:18,06:42,112,12:06,45S,17:31,248,17:55,18:23,18:51
新竹縣,2024-01-20,05:22,05:50,06:18,06:42,112,12:07,45S,17:32,248,17:56,18:24,18:51
新竹縣,2024-01-21,05:22,05:50,06:18,06:42,112,12:07,45S,17:32,248,17:57,18:24,18:52
新竹縣,2024-01-22,05:22,05:50,06:17,06:42,112,12:07,45S,17:33,249,17:57,18:25,18:53
新竹縣,2024-01-23,05:22,05:50,06:17,06:42,111,12:08,46S,17:34,249,17:58,18:26,18:53
新竹縣,2024-01-24,05:22,05:49,06:17,06:41,111,12:08,46S,17:35,249,17:59,18:26,18:54
新竹縣,2024-01-25,05:22,05:49,06:17,06:41,111,12:08,46S,17:35,249,17:59,18:27,18:54
新竹縣,2024-01-26,05:22,05:49,06:17,06:41,111,12:08,46S,17:36,250,18:00,18:28,18:55
新竹縣,2024-01-27,05:22,05:49,06:16,06:40,110,12:09,47S,17:37,250,18:01,18:28,18:56
新竹縣,2024-01-28,05:21,05:49,06:16,06:40,110,12:09,47S,17:38,250,18:02,18:29,18:56
新竹縣,2024-01-29,05:21,05:48,06:16,06:40,110,12:09,47S,17:38,250,18:02,18:30,18:57
新竹縣,2024-01-30,05:21,05:48,06:15,06:39,109,12:09,47S,17:39,251,18:03,18:30,18:57
新竹縣,2024-01-31,05:21,05:48,06:15,06:39,109,12:09,48S,17:40,251,18:04,18:31,18:58
